S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
189.0,28.0,-4.8,-0.8,-2.282608695652174,571.0,41.0,-4.7,3.0,-2.0217391304347827,161.0,6.0,-4.8,-1.6,-3.747826086956522,530.0,19.0,-7.3,-3.2,-4.3130434782608695,155.0,10.0,-9.7,0.0,-4.908695652173913,511.0,4.0,-11.0,-2.5,-6.995652173913044,145.0,-1.0,-25.8,-2.1,-18.582608695652173,507.0,2.0,-14.3,-1.4,-9.57391304347826,4
200.0,11.0,-4.1,-1.2,-2.8391304347826085,597.0,26.0,-4.0,0.0,-2.765217391304348,189.0,28.0,-4.8,-0.8,-2.282608695652174,571.0,41.0,-4.7,3.0,-2.0217391304347827,161.0,6.0,-4.8,-1.6,-3.747826086956522,530.0,19.0,-7.3,-3.2,-4.3130434782608695,155.0,10.0,-9.7,0.0,-4.908695652173913,511.0,4.0,-11.0,-2.5,-6.995652173913044,4
217.0,17.0,-3.9,0.5,-2.2956521739130435,613.0,16.0,-4.1,0.0,-2.734782608695652,200.0,11.0,-4.1,-1.2,-2.8391304347826085,597.0,26.0,-4.0,0.0,-2.765217391304348,189.0,28.0,-4.8,-0.8,-2.282608695652174,571.0,41.0,-4.7,3.0,-2.0217391304347827,161.0,6.0,-4.8,-1.6,-3.747826086956522,530.0,19.0,-7.3,-3.2,-4.3130434782608695,4
215.0,-2.0,-4.3,-0.3,-2.408695652173913,622.0,9.0,-4.8,-1.7,-3.1869565217391305,217.0,17.0,-3.9,0.5,-2.2956521739130435,613.0,16.0,-4.1,0.0,-2.734782608695652,200.0,11.0,-4.1,-1.2,-2.8391304347826085,597.0,26.0,-4.0,0.0,-2.765217391304348,189.0,28.0,-4.8,-0.8,-2.282608695652174,571.0,41.0,-4.7,3.0,-2.0217391304347827,3
227.0,12.0,-7.1,-2.0,-4.869565217391305,657.0,35.0,-6.8,-2.8,-4.595652173913043,215.0,-2.0,-4.3,-0.3,-2.408695652173913,622.0,9.0,-4.8,-1.7,-3.1869565217391305,217.0,17.0,-3.9,0.5,-2.2956521739130435,613.0,16.0,-4.1,0.0,-2.734782608695652,200.0,11.0,-4.1,-1.2,-2.8391304347826085,597.0,26.0,-4.0,0.0,-2.765217391304348,4
241.0,14.0,-6.0,0.5,-4.104347826086957,696.0,39.0,-5.8,1.8,-3.652173913043478,227.0,12.0,-7.1,-2.0,-4.869565217391305,657.0,35.0,-6.8,-2.8,-4.595652173913043,215.0,-2.0,-4.3,-0.3,-2.408695652173913,622.0,9.0,-4.8,-1.7,-3.1869565217391305,217.0,17.0,-3.9,0.5,-2.2956521739130435,613.0,16.0,-4.1,0.0,-2.734782608695652,4
249.0,8.0,-6.1,-2.5,-4.77391304347826,711.0,15.0,-5.2,-3.2,-4.521739130434782,241.0,14.0,-6.0,0.5,-4.104347826086957,696.0,39.0,-5.8,1.8,-3.652173913043478,227.0,12.0,-7.1,-2.0,-4.869565217391305,657.0,35.0,-6.8,-2.8,-4.595652173913043,215.0,-2.0,-4.3,-0.3,-2.408695652173913,622.0,9.0,-4.8,-1.7,-3.1869565217391305,4
250.0,1.0,-7.0,-3.6,-5.3478260869565215,748.0,37.0,-7.8,-0.8,-5.3304347826086955,249.0,8.0,-6.1,-2.5,-4.77391304347826,711.0,15.0,-5.2,-3.2,-4.521739130434782,241.0,14.0,-6.0,0.5,-4.104347826086957,696.0,39.0,-5.8,1.8,-3.652173913043478,227.0,12.0,-7.1,-2.0,-4.869565217391305,657.0,35.0,-6.8,-2.8,-4.595652173913043,4
259.0,9.0,-6.7,-3.1,-4.6869565217391305,766.0,18.0,-6.3,2.2,-4.647826086956521,250.0,1.0,-7.0,-3.6,-5.3478260869565215,748.0,37.0,-7.8,-0.8,-5.3304347826086955,249.0,8.0,-6.1,-2.5,-4.77391304347826,711.0,15.0,-5.2,-3.2,-4.521739130434782,241.0,14.0,-6.0,0.5,-4.104347826086957,696.0,39.0,-5.8,1.8,-3.652173913043478,4
250.0,-9.0,-18.6,-2.6,-9.986956521739131,771.0,5.0,-13.5,2.5,-5.8304347826086955,259.0,9.0,-6.7,-3.1,-4.6869565217391305,766.0,18.0,-6.3,2.2,-4.647826086956521,250.0,1.0,-7.0,-3.6,-5.3478260869565215,748.0,37.0,-7.8,-0.8,-5.3304347826086955,249.0,8.0,-6.1,-2.5,-4.77391304347826,711.0,15.0,-5.2,-3.2,-4.521739130434782,4
