S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,Danger Rating
0,0,9.3,17.3,11.995652173913044,0,0,8.3,16.7,9.695652173913043,0,0,8.8,19.5,13.660869565217391,0,-1.0,8.4,19.6,13.021739130434783,-1
0,0,6.8,16.5,11.765217391304347,0,0,8.6,18.9,13.052173913043479,0,0,8.2,19.4,13.252173913043478,0,0,6.9,18.8,11.513043478260869,-1
0,0,7.2,17.2,12.091304347826087,0,0,7.2,17.1,12.069565217391304,0,0,3.7,16.9,10.047826086956523,0,0,7.3,16.3,10.756521739130434,-1
0,0,7.4,20.6,13.456521739130435,0,0,13.2,22.9,17.656521739130437,0,0,5.9,21.1,12.45217391304348,0,0,11.9,24.3,17.265217391304347,-1
0,0,4.7,19.8,11.221739130434782,0,0,11.0,23.7,16.7,0,0,6.6,20.3,13.543478260869565,0,0,10.8,22.4,16.4,-1
0,0,3.5,17.2,9.152173913043478,0,0,6.2,18.4,11.54782608695652,0,0,3.0,12.3,6.378260869565217,0,0,4.4,14.3,8.382608695652173,-1
0,0,6.6,11.9,9.28695652173913,0,0.0,7.3,14.8,9.143478260869566,0,0,9.5,18.2,14.791304347826086,0.0,0.0,12.4,20.6,15.660869565217391,-1
81.0,3.0,-11.7,-3.1,-7.334782608695652,367.0,8.0,-9.1,-3.4,-5.317391304347826,78.0,6.0,-3.3,-0.5,-2.0608695652173914,359.0,18.0,-3.8,-1.2,-2.5,3
77.0,1.0,-26.0,-14.9,-21.556521739130435,364.0,3.0,0.0,0.0,0.0,76.0,0.0,-27.5,-22.0,-24.752173913043478,361.0,0.0,-6.9,0.0,-0.5347826086956522,3
243.0,20.0,0.1,1.6,0.9956521739130435,779.0,80.0,0.0,0.0,0.0,223.0,28.0,0.1,1.7,0.9521739130434782,699.0,73.0,0.0,0.0,0.0,4
360.0,0.0,-13.5,-3.0,-7.243478260869566,1102.0,-4.0,-0.4,3.2,0.2,360.0,5.0,-5.9,-0.9,-3.6478260869565218,1106.0,18.0,0.0,2.6,0.18695652173913044,2
356.0,-4.0,-13.7,-4.7,-9.395652173913044,1101.0,-1.0,-3.4,0.0,-0.2956521739130435,360.0,0.0,-13.5,-3.0,-7.243478260869566,1102.0,-4.0,-0.4,3.2,0.2,2
