S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,S1_total_3,S1_delta_3,S1_min_3,S1_max_3,S1_mean_3,S2_total_3,S2_delta_3,S2_min_3,S2_max_3,S2_mean_3,Danger Rating
0,0,5.8,12.7,8.052173913043479,0,0,5.8,8.9,6.743478260869566,0,0,4.6,13.0,7.256521739130434,0,0,4.3,8.7,5.930434782608695,0,0,0.8,13.2,5.743478260869566,0,0,3.3,9.5,5.608695652173913,0,0,-2.1,11.1,2.639130434782609,0,0,1.9,11.9,6.521739130434783,-1
0,0,-0.6,5.9,2.7695652173913046,0,0,1.3,8.8,4.856521739130435,0,0,2.8,16.5,8.469565217391304,0,0,8.0,17.9,11.326086956521738,0,0,3.6,21.6,11.039130434782608,0,0,10.9,21.0,15.88695652173913,0,0,4.2,24.3,11.256521739130434,0,0,10.8,23.3,15.830434782608696,-1
0,0,3.1,5.1,3.739130434782609,0,0,3.5,6.0,4.691304347826087,0,0,3.9,5.0,4.560869565217391,0,0,2.3,5.9,3.739130434782609,0,0,2.5,6.5,3.9347826086956523,0,0,0.1,7.2,3.365217391304348,0,0,-1.6,10.1,1.9043478260869564,0,0,2.6,7.0,4.317391304347826,2
0,0,5.1,15.2,8.991304347826087,0,0,8.1,13.6,10.504347826086956,0,0,0.6,16.2,5.482608695652174,0,0,6.5,18.1,10.678260869565218,0,0,-2.2,16.6,3.482608695652174,0,0,4.7,16.8,9.152173913043478,0,0,-1.7,9.7,3.3260869565217392,0,0,2.9,13.7,7.026086956521739,2
0,0,2.9,9.3,6.6,0,0,3.1,5.4,4.139130434782609,0,0,-0.5,10.5,3.465217391304348,0,0,1.8,7.9,4.408695652173913,0,0,4.3,8.2,6.156521739130435,0,0,5.1,7.0,5.760869565217392,0,0.0,3.9,13.1,7.1521739130434785,0,0,6.9,9.8,7.769565217391304,2
0.0,-3.0,0.1,3.2,1.8130434782608695,0,0,1.1,4.3,2.517391304347826,3.0,3.0,0.4,4.3,2.4608695652173913,0,0,0.7,5.7,2.4217391304347826,0,0,2.8,6.2,4.552173913043478,0,0,2.6,4.2,3.269565217391304,0,0,-1.0,6.9,4.217391304347826,0,0,2.9,5.7,3.982608695652174,2
6.0,0.0,1.3,4.9,2.526086956521739,26.0,26.0,0.0,1.7,0.5826086956521739,6.0,2.0,-4.0,4.6,0.03043478260869562,0,0,-2.1,-0.3,-1.2304347826086957,4.0,-1.0,-6.7,0.3,-2.617391304347826,0,0,-2.2,2.9,-0.7913043478260869,5.0,2.0,-5.1,1.3,-2.3521739130434782,0,0,-3.9,-1.1,-2.591304347826087,2
77.0,7.0,-8.7,-4.1,-5.843478260869565,198.0,10.0,-7.2,-3.1,-4.991304347826087,70.0,19.0,-3.2,0.5,-1.0434782608695652,188.0,61.0,-4.0,0.0,-2.239130434782609,51.0,3.0,-11.9,-2.4,-7.569565217391304,127.0,-4.0,-8.7,-4.3,-6.165217391304347,48.0,1.0,-7.6,-4.5,-6.534782608695652,131.0,4.0,-3.9,-1.2,-2.717391304347826,-1
197.0,20.0,-0.9,1.6,0.591304347826087,445.0,26.0,-0.8,3.2,0.7304347826086957,177.0,29.0,0.0,2.4,0.7739130434782608,419.0,37.0,-0.8,0.8,0.030434782608695653,148.0,21.0,-0.7,1.1,-0.10434782608695652,382.0,97.0,-2.2,-0.6,-1.5739130434782609,127.0,6.0,-1.6,-0.4,-1.0,285.0,22.0,-2.4,-1.5,-1.865217391304348,4
268.0,3.0,-9.3,-3.5,-7.421739130434783,726.0,1.0,-6.3,7.0,-2.6478260869565218,265.0,0.0,-15.6,-4.7,-12.591304347826087,725.0,-2.0,-9.9,5.4,-6.030434782608696,265.0,-3.0,-18.8,-11.6,-16.73913043478261,727.0,-1.0,-13.1,2.9,-9.21304347826087,268.0,-1.0,-19.2,-7.8,-15.043478260869565,728.0,-1.0,-13.4,1.8,-8.917391304347825,2
268.0,2.0,-13.0,-5.0,-9.71304347826087,731.0,-2.0,-4.8,2.8,-1.208695652173913,266.0,-8.0,-15.6,-3.7,-11.769565217391305,733.0,0.0,-5.4,8.1,-1.1739130434782608,274.0,-4.0,-11.7,-3.8,-9.530434782608696,733.0,10.0,-2.7,3.6,-0.4826086956521739,278.0,11.0,-15.6,-9.1,-11.217391304347826,723.0,-1.0,-9.7,-2.6,-6.77391304347826,1
461.0,8.0,-13.1,4.3,-6.391304347826087,1284.0,-1.0,-8.7,8.2,-3.721739130434783,453.0,-6.0,-8.4,1.2,-2.591304347826087,1285.0,5.0,-5.2,6.4,-2.643478260869565,459.0,16.0,-7.6,2.3,-3.1565217391304348,1280.0,-2.0,-7.7,-0.8,-4.521739130434782,443.0,-12.0,-4.0,0.8,-1.7304347826086957,1282.0,17.0,-3.8,0.2,-2.3521739130434782,2
586.0,8.0,0.5,8.3,3.765217391304348,1683.0,0.0,0.8,3.9,2.0565217391304347,578.0,8.0,-3.3,5.6,1.4478260869565218,1683.0,1.0,-3.5,8.9,0.8391304347826086,570.0,11.0,-12.6,8.4,-5.517391304347826,1682.0,-3.0,-6.8,8.4,-0.9869565217391304,559.0,0.0,-13.4,5.0,-5.678260869565218,1685.0,-1.0,-8.0,6.2,-3.347826086956522,2
0,0,3.8,13.9,7.408695652173913,933.0,-26.0,2.7,8.6,5.056521739130435,0,0,1.2,11.4,6.756521739130434,959.0,-23.0,3.1,10.2,5.526086956521739,0,0,0.3,12.0,3.4608695652173913,982.0,-23.0,1.9,14.0,7.073913043478261,0,0,-0.8,4.9,1.1391304347826088,1005.0,-13.0,1.5,12.0,4.6521739130434785,-1
0,0,4.6,13.1,8.68695652173913,894.0,-18.0,3.0,15.6,7.3130434782608695,0,0,4.2,13.5,8.356521739130434,912.0,-21.0,3.8,10.7,5.717391304347826,0,0,3.8,13.9,7.408695652173913,933.0,-26.0,2.7,8.6,5.056521739130435,0,0,1.2,11.4,6.756521739130434,959.0,-23.0,3.1,10.2,5.526086956521739,-1
0,0,8.8,15.1,11.482608695652175,0,0,7.2,10.4,8.373913043478261,0,0,7.7,14.2,10.221739130434782,0,0,4.3,12.5,7.413043478260869,0,0,4.7,14.3,8.734782608695651,0,0,5.5,9.6,7.356521739130435,0,0,7.4,12.0,9.769565217391305,0,0,7.4,8.9,7.969565217391304,-1
0,0,9.8,16.8,12.391304347826088,0,0,8.1,13.9,9.986956521739131,0,0,6.8,16.5,11.765217391304347,0,0,8.6,18.9,13.052173913043479,0,0,8.2,19.4,13.252173913043478,0,0,6.9,18.8,11.513043478260869,0,0,10.2,17.8,12.465217391304348,0,0,8.4,10.2,9.0,-1
0,0,6.6,20.3,13.543478260869565,0,0,10.8,22.4,16.4,0,0,6.6,21.0,13.004347826086956,0,0,11.0,22.8,16.378260869565217,0,0,9.7,19.6,14.395652173913044,0,0,12.0,21.8,16.64782608695652,0,0,7.4,20.6,13.456521739130435,0,0,13.2,22.9,17.656521739130437,-1
10.0,-8.0,-2.0,5.8,1.173913043478261,34.0,-9.0,1.7,4.8,2.5478260869565217,18.0,2.0,-0.2,4.9,2.865217391304348,43.0,0.0,1.1,3.4,2.734782608695652,16.0,-6.0,-2.7,4.2,1.2173913043478262,43.0,-9.0,-0.3,1.5,0.45652173913043476,22.0,0.0,0.6,5.4,2.0434782608695654,52.0,-11.0,1.2,3.6,2.034782608695652,-1
