S1_total_0,S1_delta_0,S1_min_0,S1_max_0,S1_mean_0,S2_total_0,S2_delta_0,S2_min_0,S2_max_0,S2_mean_0,S1_total_1,S1_delta_1,S1_min_1,S1_max_1,S1_mean_1,S2_total_1,S2_delta_1,S2_min_1,S2_max_1,S2_mean_1,S1_total_2,S1_delta_2,S1_min_2,S1_max_2,S1_mean_2,S2_total_2,S2_delta_2,S2_min_2,S2_max_2,S2_mean_2,Danger Rating
264.0,0.0,-9.2,-3.5,-5.573913043478261,697.0,7.0,-5.7,-2.9,-4.595652173913043,264.0,17.0,-4.3,-2.4,-3.1826086956521737,690.0,64.0,-4.5,-2.2,-3.730434782608696,247.0,3.0,-6.8,-2.5,-5.008695652173913,626.0,13.0,-4.8,-3.8,-4.391304347826087,3
263.0,-1.0,-13.1,-6.0,-9.326086956521738,696.0,-1.0,-10.8,-4.5,-7.604347826086957,264.0,0.0,-9.2,-3.5,-5.573913043478261,697.0,7.0,-5.7,-2.9,-4.595652173913043,264.0,17.0,-4.3,-2.4,-3.1826086956521737,690.0,64.0,-4.5,-2.2,-3.730434782608696,2
428.0,1.0,-2.3,0.1,-0.8913043478260869,1169.0,20.0,-2.6,0.1,-1.1521739130434783,427.0,14.0,0.0,3.8,1.891304347826087,1149.0,30.0,-0.3,2.3,0.5565217391304348,413.0,-6.0,-3.2,4.0,0.11304347826086956,1119.0,1.0,-1.1,3.8,0.6869565217391305,2
457.0,10.0,-3.7,2.5,-1.5739130434782609,1227.0,5.0,-2.8,1.9,-1.5521739130434782,447.0,8.0,-1.8,0.4,-0.7086956521739131,1222.0,27.0,-2.8,4.3,-0.6130434782608696,439.0,-1.0,-1.5,2.5,0.8,1195.0,6.0,-3.1,0.7,-0.6304347826086957,3
577.0,-13.0,-5.6,5.9,-1.7652173913043478,1733.0,-4.0,-5.1,7.8,0.16086956521739135,590.0,8.0,-2.5,2.7,-0.09130434782608696,1737.0,4.0,-2.0,4.1,0.11739130434782605,582.0,10.0,-2.2,6.4,0.5565217391304348,1733.0,-3.0,-3.5,5.3,-0.09130434782608697,3
590.0,9.0,-2.0,17.2,4.473913043478261,1732.0,0.0,3.5,18.3,9.38695652173913,581.0,4.0,-3.8,15.9,1.7260869565217392,1732.0,-1.0,-1.9,14.4,3.6782608695652175,577.0,-13.0,-5.6,5.9,-1.7652173913043478,1733.0,-4.0,-5.1,7.8,0.16086956521739135,2
577.0,-11.0,-3.7,12.7,2.878260869565217,1711.0,-5.0,1.2,15.8,6.839130434782609,588.0,11.0,5.3,14.2,9.947826086956521,1716.0,-8.0,5.8,17.0,10.478260869565217,577.0,-5.0,-2.6,19.3,5.326086956521739,1724.0,-5.0,1.5,20.7,7.839130434782609,-1
0,0,5.3,22.0,12.71304347826087,21.0,-39.0,9.8,24.2,16.17391304347826,0,0,1.9,19.6,9.578260869565218,60.0,-38.0,5.1,20.5,11.621739130434783,0,0,7.1,14.0,10.034782608695652,98.0,-33.0,5.6,13.7,7.7043478260869565,-1
0,0,5.9,10.0,7.743478260869566,0,0,5.1,10.4,8.469565217391304,0,0,9.2,14.8,11.47391304347826,0,0,7.2,13.6,9.717391304347826,0,0,9.3,17.3,11.995652173913044,0,0,8.3,16.7,9.695652173913043,-1
0,0,8.2,19.4,13.252173913043478,0,0,6.9,18.8,11.513043478260869,0,0,10.2,17.8,12.465217391304348,0,0,8.4,10.2,9.0,0,0,8.5,17.9,12.752173913043478,0,0,9.1,14.6,10.160869565217391,-1
